Norm,Metric,Distance,Env,mean_episode_rewards,val_mean_episode_rewards,run
linf_norm,l2_dist,0.3163461685180664,Valid,10,0.0,sage-paper-1186
l1_norm,l1_dist,1.295198678970337,Train,10,-5.5,stilted-river-1187
l1_norm,l2_dist,3.3758270740509033,Train,10,-5.5,stilted-river-1187
l2_norm,l1_dist,0.7819396257400513,Train,10,-5.5,stilted-river-1187
l2_norm,l2_dist,1.2756080627441406,Train,10,-5.5,stilted-river-1187
linf_norm,l1_dist,0.4112689197063446,Train,10,-5.5,stilted-river-1187
linf_norm,l2_dist,0.5844016671180725,Train,10,-5.5,stilted-river-1187
l1_norm,l1_dist,1.4809280633926392,Valid,10,-5.5,stilted-river-1187
l1_norm,l2_dist,2.1970012187957764,Valid,10,-5.5,stilted-river-1187
l2_norm,l1_dist,0.9706661701202393,Valid,10,-5.5,stilted-river-1187
l2_norm,l2_dist,1.4418569803237915,Valid,10,-5.5,stilted-river-1187
linf_norm,l1_dist,0.19536978006362915,Valid,10,-5.5,stilted-river-1187
linf_norm,l2_dist,0.29745808243751526,Valid,10,-5.5,stilted-river-1187
l1_norm,l1_dist,1.2948877811431885,Train,10,-5.5,jumping-mountain-1188
l1_norm,l2_dist,3.3772828578948975,Train,10,-5.5,jumping-mountain-1188
l2_norm,l1_dist,0.7804415822029114,Train,10,-5.5,jumping-mountain-1188
l2_norm,l2_dist,1.276097297668457,Train,10,-5.5,jumping-mountain-1188
linf_norm,l1_dist,0.40163540840148926,Train,10,-5.5,jumping-mountain-1188
linf_norm,l2_dist,0.5718047022819519,Train,10,-5.5,jumping-mountain-1188
l1_norm,l1_dist,1.4785151481628418,Valid,10,-5.5,jumping-mountain-1188
l1_norm,l2_dist,2.1920063495635986,Valid,10,-5.5,jumping-mountain-1188
l2_norm,l1_dist,0.968804657459259,Valid,10,-5.5,jumping-mountain-1188
l2_norm,l2_dist,1.4378738403320312,Valid,10,-5.5,jumping-mountain-1188
linf_norm,l1_dist,0.19652900099754333,Valid,10,-5.5,jumping-mountain-1188
linf_norm,l2_dist,0.299075186252594,Valid,10,-5.5,jumping-mountain-1188
l1_norm,l1_dist,1.8951555490493774,Train,10,8.5,fluent-microwave-1189
l1_norm,l2_dist,5.561526775360107,Train,10,8.5,fluent-microwave-1189
l2_norm,l1_dist,0.8536398410797119,Train,10,8.5,fluent-microwave-1189
l2_norm,l2_dist,1.3882856369018555,Train,10,8.5,fluent-microwave-1189
linf_norm,l1_dist,0.40514498949050903,Train,10,8.5,fluent-microwave-1189
linf_norm,l2_dist,0.5734369158744812,Train,10,8.5,fluent-microwave-1189
l1_norm,l1_dist,1.3919168710708618,Valid,10,8.5,fluent-microwave-1189
l1_norm,l2_dist,2.000917673110962,Valid,10,8.5,fluent-microwave-1189
l2_norm,l1_dist,0.8980484008789062,Valid,10,8.5,fluent-microwave-1189
l2_norm,l2_dist,1.299918532371521,Valid,10,8.5,fluent-microwave-1189
linf_norm,l1_dist,0.2034725844860077,Valid,10,8.5,fluent-microwave-1189
linf_norm,l2_dist,0.30461156368255615,Valid,10,8.5,fluent-microwave-1189
l1_norm,l1_dist,1.5874028205871582,Train,10,3.5,pleasant-bee-1190
l1_norm,l2_dist,4.389770984649658,Train,10,3.5,pleasant-bee-1190
l2_norm,l1_dist,0.8311541676521301,Train,10,3.5,pleasant-bee-1190
l2_norm,l2_dist,1.3512238264083862,Train,10,3.5,pleasant-bee-1190
linf_norm,l1_dist,0.4395555853843689,Train,10,3.5,pleasant-bee-1190
linf_norm,l2_dist,0.6191959977149963,Train,10,3.5,pleasant-bee-1190
l1_norm,l1_dist,1.501979947090149,Valid,10,3.5,pleasant-bee-1190
l1_norm,l2_dist,2.1886839866638184,Valid,10,3.5,pleasant-bee-1190
l2_norm,l1_dist,0.9569345116615295,Valid,10,3.5,pleasant-bee-1190
l2_norm,l2_dist,1.4014021158218384,Valid,10,3.5,pleasant-bee-1190
linf_norm,l1_dist,0.21121643483638763,Valid,10,3.5,pleasant-bee-1190
linf_norm,l2_dist,0.316874623298645,Valid,10,3.5,pleasant-bee-1190
l1_norm,l1_dist,1.5679607391357422,Train,10,10.0,dainty-galaxy-1191
l1_norm,l2_dist,5.457625389099121,Train,10,10.0,dainty-galaxy-1191
l2_norm,l1_dist,0.7811998128890991,Train,10,10.0,dainty-galaxy-1191
l2_norm,l2_dist,1.3373439311981201,Train,10,10.0,dainty-galaxy-1191
linf_norm,l1_dist,0.351608008146286,Train,10,10.0,dainty-galaxy-1191
linf_norm,l2_dist,0.5059210062026978,Train,10,10.0,dainty-galaxy-1191
l1_norm,l1_dist,1.3731701374053955,Valid,10,10.0,dainty-galaxy-1191
l1_norm,l2_dist,1.9821971654891968,Valid,10,10.0,dainty-galaxy-1191
l2_norm,l1_dist,0.8715894222259521,Valid,10,10.0,dainty-galaxy-1191
l2_norm,l2_dist,1.273178219795227,Valid,10,10.0,dainty-galaxy-1191
linf_norm,l1_dist,0.18458029627799988,Valid,10,10.0,dainty-galaxy-1191
linf_norm,l2_dist,0.27529752254486084,Valid,10,10.0,dainty-galaxy-1191
l1_norm,l1_dist,1.5866923332214355,Train,10,3.5,polished-sound-1192
l1_norm,l2_dist,4.3892903327941895,Train,10,3.5,polished-sound-1192
l2_norm,l1_dist,0.8309817314147949,Train,10,3.5,polished-sound-1192
l2_norm,l2_dist,1.3510488271713257,Train,10,3.5,polished-sound-1192
linf_norm,l1_dist,0.44402849674224854,Train,10,3.5,polished-sound-1192
linf_norm,l2_dist,0.6251758933067322,Train,10,3.5,polished-sound-1192
l1_norm,l1_dist,1.5056736469268799,Valid,10,3.5,polished-sound-1192
l1_norm,l2_dist,2.1969685554504395,Valid,10,3.5,polished-sound-1192
l2_norm,l1_dist,0.959519624710083,Valid,10,3.5,polished-sound-1192
l2_norm,l2_dist,1.4074574708938599,Valid,10,3.5,polished-sound-1192
linf_norm,l1_dist,0.21021968126296997,Valid,10,3.5,polished-sound-1192
linf_norm,l2_dist,0.3154623508453369,Valid,10,3.5,polished-sound-1192
l1_norm,l1_dist,1.295132040977478,Train,10,-5.5,vital-hill-1193
l1_norm,l2_dist,3.3756284713745117,Train,10,-5.5,vital-hill-1193
l2_norm,l1_dist,0.7821806073188782,Train,10,-5.5,vital-hill-1193
l2_norm,l2_dist,1.2755732536315918,Train,10,-5.5,vital-hill-1193
linf_norm,l1_dist,0.4138779044151306,Train,10,-5.5,vital-hill-1193
linf_norm,l2_dist,0.5877888202667236,Train,10,-5.5,vital-hill-1193
l1_norm,l1_dist,1.481543779373169,Valid,10,-5.5,vital-hill-1193
l1_norm,l2_dist,2.197997570037842,Valid,10,-5.5,vital-hill-1193
l2_norm,l1_dist,0.9710397720336914,Valid,10,-5.5,vital-hill-1193
l2_norm,l2_dist,1.4425195455551147,Valid,10,-5.5,vital-hill-1193
linf_norm,l1_dist,0.19522665441036224,Valid,10,-5.5,vital-hill-1193
linf_norm,l2_dist,0.2972511649131775,Valid,10,-5.5,vital-hill-1193
l1_norm,l1_dist,1.58732008934021,Train,10,3.5,winter-snowflake-1194
l1_norm,l2_dist,4.38897705078125,Train,10,3.5,winter-snowflake-1194
l2_norm,l1_dist,0.831571102142334,Train,10,3.5,winter-snowflake-1194
l2_norm,l2_dist,1.3509125709533691,Train,10,3.5,winter-snowflake-1194
linf_norm,l1_dist,0.4563850164413452,Train,10,3.5,winter-snowflake-1194
linf_norm,l2_dist,0.6424351930618286,Train,10,3.5,winter-snowflake-1194
l1_norm,l1_dist,1.5023365020751953,Valid,10,3.5,winter-snowflake-1194
l1_norm,l2_dist,2.1895651817321777,Valid,10,3.5,winter-snowflake-1194
l2_norm,l1_dist,0.9571816921234131,Valid,10,3.5,winter-snowflake-1194
l2_norm,l2_dist,1.4020360708236694,Valid,10,3.5,winter-snowflake-1194
linf_norm,l1_dist,0.2111472189426422,Valid,10,3.5,winter-snowflake-1194
linf_norm,l2_dist,0.3167778253555298,Valid,10,3.5,winter-snowflake-1194
l1_norm,l1_dist,1.1836886405944824,Train,10,10.0,winter-lake-1195
l1_norm,l2_dist,2.7721056938171387,Train,10,10.0,winter-lake-1195
l2_norm,l1_dist,0.7727893590927124,Train,10,10.0,winter-lake-1195
l2_norm,l2_dist,1.2454193830490112,Train,10,10.0,winter-lake-1195
linf_norm,l1_dist,0.4839087128639221,Train,10,10.0,winter-lake-1195
linf_norm,l2_dist,0.678747832775116,Train,10,10.0,winter-lake-1195
l1_norm,l1_dist,1.4414608478546143,Valid,10,10.0,winter-lake-1195
l1_norm,l2_dist,2.0823323726654053,Valid,10,10.0,winter-lake-1195
l2_norm,l1_dist,0.9170404076576233,Valid,10,10.0,winter-lake-1195
l2_norm,l2_dist,1.3305944204330444,Valid,10,10.0,winter-lake-1195
linf_norm,l1_dist,0.20268654823303223,Valid,10,10.0,winter-lake-1195
linf_norm,l2_dist,0.301506370306015,Valid,10,10.0,winter-lake-1195
